model_name,c_matrix,precision,recall,f1,support
GaussianNB_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
GaussianNB_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
GaussianNB_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
AdaBoostClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
AdaBoostClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
AdaBoostClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
AdaBoostClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
AdaBoostClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
AdaBoostClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
AdaBoostClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
AdaBoostClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
AdaBoostClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
AdaBoostClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
BaggingClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
BaggingClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
BaggingClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
BaggingClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
BaggingClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
BaggingClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
BaggingClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
BaggingClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
BaggingClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
BaggingClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
RandomForestClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
RandomForestClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RandomForestClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
RandomForestClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
RandomForestClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RandomForestClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
RandomForestClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RandomForestClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
RandomForestClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RandomForestClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
GradientBoostingClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
GradientBoostingClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
GradientBoostingClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
GradientBoostingClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
GradientBoostingClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
GradientBoostingClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
GradientBoostingClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
GradientBoostingClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
GradientBoostingClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
GradientBoostingClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
LinearDiscriminantAnalysis_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
LinearDiscriminantAnalysis_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearDiscriminantAnalysis_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
LinearDiscriminantAnalysis_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
LinearDiscriminantAnalysis_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearDiscriminantAnalysis_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
LinearDiscriminantAnalysis_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearDiscriminantAnalysis_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
LinearDiscriminantAnalysis_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearDiscriminantAnalysis_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
QuadraticDiscriminantAnalysis_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
QuadraticDiscriminantAnalysis_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
QuadraticDiscriminantAnalysis_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
QuadraticDiscriminantAnalysis_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
QuadraticDiscriminantAnalysis_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
QuadraticDiscriminantAnalysis_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
QuadraticDiscriminantAnalysis_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
QuadraticDiscriminantAnalysis_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
QuadraticDiscriminantAnalysis_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
QuadraticDiscriminantAnalysis_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
